SaleAmount,OrderID,CompanyName,ShippedDate
3192.65,10524,Berglunds snabbköp,5/7/1997 12:00:00 AM +00:00
3815.25,10672,Berglunds snabbköp,9/26/1997 12:00:00 AM +00:00
3026.85,10801,Bólido Comidas preparadas,12/31/1997 12:00:00 AM +00:00
2550,10511,Bon app',4/21/1997 12:00:00 AM +00:00
3118,10742,Bottom-Dollar Markets,11/18/1997 12:00:00 AM +00:00
3063,10400,Eastern Connection,1/16/1997 12:00:00 AM +00:00
2713.5,10402,Ernst Handel,1/10/1997 12:00:00 AM +00:00
4899.2,10430,Ernst Handel,2/3/1997 12:00:00 AM +00:00
8623.45,10514,Ernst Handel,5/16/1997 12:00:00 AM +00:00
4725,10595,Ernst Handel,7/14/1997 12:00:00 AM +00:00
5510.59,10633,Ernst Handel,8/18/1997 12:00:00 AM +00:00
3436.45,10698,Ernst Handel,10/17/1997 12:00:00 AM +00:00
6635.27,10776,Ernst Handel,12/18/1997 12:00:00 AM +00:00
4985.5,10634,Folies gourmandes,8/21/1997 12:00:00 AM +00:00
3687,10789,Folies gourmandes,12/31/1997 12:00:00 AM +00:00
2844.5,10561,Folk och fä HB,6/9/1997 12:00:00 AM +00:00
2545,10703,Folk och fä HB,10/20/1997 12:00:00 AM +00:00
4337,10762,Folk och fä HB,12/9/1997 12:00:00 AM +00:00
2775.05,10629,Godos Cocina Típica,8/20/1997 12:00:00 AM +00:00
3424,10709,Gourmet Lanchonetes,11/20/1997 12:00:00 AM +00:00
4807.01,10616,Great Lakes Food Market,8/5/1997 12:00:00 AM +00:00
3163.2,10490,HILARION-Abastos,4/3/1997 12:00:00 AM +00:00
2519,10567,Hungry Owl All-Night Grocers,6/17/1997 12:00:00 AM +00:00
4960.9,10687,Hungry Owl All-Night Grocers,10/30/1997 12:00:00 AM +00:00
2864.5,10701,Hungry Owl All-Night Grocers,10/15/1997 12:00:00 AM +00:00
3463,10718,Königlich Essen,10/29/1997 12:00:00 AM +00:00
2622.76,10787,La maison d'Asie,12/26/1997 12:00:00 AM +00:00
3603.22,10772,Lehmanns Marktstand,12/19/1997 12:00:00 AM +00:00
2720.05,10638,LINO-Delicateses,9/1/1997 12:00:00 AM +00:00
2917,10760,Maison Dewey,12/10/1997 12:00:00 AM +00:00
9194.56,10424,Mère Paillarde,1/27/1997 12:00:00 AM +00:00
4109.7,10605,Mère Paillarde,7/29/1997 12:00:00 AM +00:00
2697.5,10618,Mère Paillarde,8/8/1997 12:00:00 AM +00:00
4180,10530,Piccolo und mehr,5/12/1997 12:00:00 AM +00:00
2761.94,10637,Queen Cozinha,8/26/1997 12:00:00 AM +00:00
3849.66,10451,QUICK-Stop,3/12/1997 12:00:00 AM +00:00
9921.3,10515,QUICK-Stop,5/23/1997 12:00:00 AM +00:00
10191.7,10540,QUICK-Stop,6/13/1997 12:00:00 AM +00:00
3554.28,10549,QUICK-Stop,5/30/1997 12:00:00 AM +00:00
3120,10588,QUICK-Stop,7/10/1997 12:00:00 AM +00:00
4464.6,10658,QUICK-Stop,9/8/1997 12:00:00 AM +00:00
10164.8,10691,QUICK-Stop,10/22/1997 12:00:00 AM +00:00
4825,10694,QUICK-Stop,10/9/1997 12:00:00 AM +00:00
4529.8,10745,QUICK-Stop,11/27/1997 12:00:00 AM +00:00
3868.6,10401,Rattlesnake Canyon Grocery,1/10/1997 12:00:00 AM +00:00
10495.6,10479,Rattlesnake Canyon Grocery,3/21/1997 12:00:00 AM +00:00
4666.94,10666,Richter Supermarkt,9/22/1997 12:00:00 AM +00:00
2556.95,10393,Save-a-lot Markets,1/3/1997 12:00:00 AM +00:00
2505.6,10398,Save-a-lot Markets,1/9/1997 12:00:00 AM +00:00
4924.14,10440,Save-a-lot Markets,2/28/1997 12:00:00 AM +00:00
4707.54,10510,Save-a-lot Markets,4/28/1997 12:00:00 AM +00:00
2944.4,10555,Save-a-lot Markets,6/4/1997 12:00:00 AM +00:00
6475.4,10607,Save-a-lot Markets,7/25/1997 12:00:00 AM +00:00
6375,10612,Save-a-lot Markets,8/1/1997 12:00:00 AM +00:00
4371.6,10657,Save-a-lot Markets,9/15/1997 12:00:00 AM +00:00
5256.5,10678,Save-a-lot Markets,10/16/1997 12:00:00 AM +00:00
4451.7,10711,Save-a-lot Markets,10/29/1997 12:00:00 AM +00:00
2827.9,10713,Save-a-lot Markets,10/24/1997 12:00:00 AM +00:00
3082,10757,Save-a-lot Markets,12/15/1997 12:00:00 AM +00:00
11188.4,10417,Simons bistro,1/28/1997 12:00:00 AM +00:00
3891,10458,Suprêmes délices,3/4/1997 12:00:00 AM +00:00
4150.05,10518,Tortuga Restaurante,5/5/1997 12:00:00 AM +00:00
2518,10465,Vaffeljernet,3/14/1997 12:00:00 AM +00:00
3160.6,10688,Vaffeljernet,10/7/1997 12:00:00 AM +00:00
2812,10546,Victuailles en stock,5/27/1997 12:00:00 AM +00:00
2684,10455,Wartian Herkku,3/3/1997 12:00:00 AM +00:00
